System,Inverter_flag,Panel_type,failure_event,Time_in_months
1359,1,1,1,50
1360,1,0,0,45
1361,1,0,1,75
1362,1,0,0,58
1363,1,1,0,51
1364,1,1,0,65
1365,1,1,0,68
1366,1,0,0,62
1367,0,1,1,34
1368,1,0,0,66
1369,0,1,1,34
1370,1,0,1,73
1371,1,1,0,63
1372,1,1,0,76
1373,0,1,1,77
1374,1,0,0,45
1375,1,1,1,113
1376,1,0,0,63
1377,1,0,0,39
1378,1,0,0,36
1379,1,0,1,78
1380,0,0,1,43
1381,1,0,0,46
1382,0,1,1,104
1383,0,0,1,56
1384,0,1,0,120
1385,1,1,1,110
1386,1,1,0,58
1387,0,1,1,92
1388,1,1,0,91
1389,1,1,0,89
1390,1,0,0,60
1391,1,1,1,113
1392,0,1,1,106
1393,1,1,0,66
1394,0,0,1,59
1395,0,1,1,41
1396,1,0,0,67
1397,1,0,1,78
1398,0,0,1,44
1399,1,1,0,14
1400,1,1,0,67
1401,1,1,1,113
1402,0,1,1,95
1403,1,0,0,38
1404,0,1,0,120
1405,0,1,1,86
1406,1,1,0,47
1407,1,0,0,37
1408,0,1,0,120
1409,1,0,0,51
1410,1,0,0,46
1411,1,0,1,76
1412,0,1,0,59
1413,0,1,0,120
1414,1,1,0,6
1415,1,1,0,70
1416,1,0,0,63
1417,1,0,0,35
1418,1,0,0,67
1419,1,0,0,35
1420,1,0,1,74
1421,0,1,0,120
1422,0,1,0,120
1423,1,0,1,78
1424,1,0,0,46
1425,0,0,1,57
1426,1,0,0,64
1427,1,0,0,40
1428,1,0,0,37
1429,1,0,1,79
1430,0,0,1,44
1431,1,0,0,47
1432,0,0,1,52
1433,1,1,1,113
1434,1,1,0,9
1435,0,1,0,120
1436,0,1,0,120
1437,0,0,1,46
1438,0,1,0,120
1439,1,1,0,58
1440,1,0,0,61
1441,0,0,1,57
1442,0,0,1,53
1443,0,1,0,120
1444,0,1,0,120
1445,1,0,0,42
1446,0,1,1,68
1447,1,0,1,79
1448,0,0,1,44
1449,0,1,0,120
1450,1,1,0,83
1451,0,0,1,57
1452,0,0,1,48
1453,1,0,0,39
1454,1,1,1,116
1455,0,0,1,43
1456,1,1,0,62
1457,1,0,0,38
1458,1,1,0,33
1459,1,0,0,52
1460,1,0,0,47
1461,0,1,1,77
1462,1,0,0,60
1463,1,1,0,89
1464,1,1,0,16
1465,1,1,1,99
1466,1,0,0,64
1467,1,0,0,36
1468,0,1,1,68
1469,1,0,0,36
1470,1,0,1,75
1471,1,1,0,86
1472,1,1,1,100
1473,1,0,1,79
1474,1,0,0,47
1475,0,0,1,57
1476,1,0,0,65
1477,0,1,1,41
1478,1,0,0,38
1479,0,0,1,80
1480,0,0,1,44
1481,1,0,0,48
1482,0,1,1,106
1483,0,0,1,57
1484,1,1,0,70
1485,1,1,0,66
1486,1,1,0,6
1487,0,0,0,94
1488,1,1,0,46
1489,0,1,0,120
1490,1,0,0,62
1491,0,0,1,57
1492,0,0,1,54
1493,1,1,1,109
1494,1,1,0,68
1495,1,0,0,43
1496,1,0,0,69
1497,0,0,1,80
1498,0,0,1,45
1499,1,1,1,110
1500,1,1,1,107
1501,0,0,1,57
1502,0,0,1,48
1503,1,0,0,40
1504,1,1,0,93
1505,0,0,1,44
1506,1,1,0,76
1507,1,0,0,39
1508,1,1,0,5
1509,1,0,0,53
1510,1,0,0,48
1511,1,0,1,78
1512,1,0,0,61
1513,1,1,0,61
1514,1,1,1,105
1515,0,1,0,120
1516,1,0,0,65
1517,1,0,0,37
1518,1,0,0,69
1519,1,0,0,37
1520,1,0,1,76
1521,1,1,1,102
1522,1,1,1,108
1523,0,0,1,80
1524,1,0,0,48
1525,0,0,1,58
1526,1,0,0,66
1527,1,0,0,42
1528,1,0,0,39
1529,0,0,1,40
1530,0,0,1,45
1531,1,0,0,49
1532,0,0,1,53
1533,0,0,1,57
1534,1,1,0,70
1535,1,1,0,69
1536,1,1,1,116
1537,0,1,1,95
1538,1,1,1,103
1539,1,1,0,25
1540,1,0,0,63
1541,0,0,1,58
1542,0,0,0,109
1543,1,1,1,108
1544,1,1,1,100
1545,1,0,0,44
1546,1,0,0,70
1547,0,0,1,40
1548,0,0,1,45
1549,1,1,0,44
1550,1,1,0,1
1551,0,0,1,58
1552,0,0,1,49
1553,0,1,1,41
1554,1,1,1,118
1555,0,0,1,44
1556,1,1,1,99
1557,1,0,0,40
1558,1,1,0,8
1559,1,0,0,54
1560,1,0,0,49
1561,1,0,1,79
1562,1,0,0,62
1563,1,1,0,10
1564,0,1,0,120
1565,1,1,0,23
1566,1,0,0,66
1567,1,0,0,38
1568,1,0,0,70
1569,1,0,0,38
1570,0,1,1,77
1571,1,1,0,28
1572,1,1,1,116
1573,0,0,1,40
1574,1,0,0,49
1575,0,0,1,58
1576,1,0,0,67
1577,1,0,0,43
1578,1,0,0,40
1579,0,0,1,41
1580,0,0,1,45
1581,1,1,1,50
1582,0,0,1,54
1583,0,0,1,58
1584,1,1,0,39
1585,1,1,0,2
1586,1,1,1,99
1587,0,0,1,48
1588,1,1,0,25
1589,1,1,1,117
1590,1,0,0,64
1591,0,0,1,58
1592,0,0,1,55
1593,1,1,0,43
1594,1,1,0,19
1595,1,0,0,45
1596,1,0,1,71
1597,0,0,1,41
1598,0,1,1,92
1599,1,1,1,97
1600,1,1,0,71
1601,0,0,1,58
1602,0,1,1,99
1603,1,0,0,42
1604,1,1,1,97
1605,0,0,1,45
1606,1,1,0,63
1607,0,1,1,41
1608,1,1,1,117
1609,1,0,0,55
1610,1,1,1,50
1611,0,0,1,80
1612,1,0,0,63
1613,1,1,0,29
1614,1,1,0,28
1615,1,1,0,12
1616,1,0,0,67
1617,1,0,0,39
1618,1,0,1,71
1619,1,0,0,39
1620,1,0,1,78
1621,1,1,0,57
1622,1,1,0,34
1623,0,0,1,41
1624,1,1,1,50
1625,0,0,1,59
1626,0,1,1,68
1627,1,0,0,44
1628,0,1,1,41
1629,0,0,1,41
1630,0,1,1,92
1631,1,0,0,51
1632,0,0,0,109
1633,0,0,1,58
1634,1,1,0,2
1635,1,1,0,51
1636,1,1,0,62
1637,0,0,1,48
1638,1,1,0,69
1639,1,1,0,41
1640,1,0,0,65
1641,0,0,1,59
1642,0,0,1,55
1643,1,1,0,76
1644,1,1,1,113
1645,1,0,0,46
1646,1,0,1,72
1647,0,0,1,41
1648,0,0,1,46
1649,1,1,0,26
1650,0,1,0,120
1651,0,0,1,59
1652,0,0,1,50
1653,1,0,0,43
1654,1,1,0,87
1655,0,0,1,45
1656,0,1,0,120
1657,1,0,0,42
1658,1,1,0,88
1659,1,0,0,56
1660,1,0,0,51
1661,0,0,1,40
1662,1,0,0,64
1663,1,1,0,42
1664,1,1,0,2
1665,1,1,0,27
1666,0,1,1,68
1667,1,0,0,40
1668,1,0,1,72
1669,1,0,0,40
1670,1,0,1,79
1671,1,1,0,43
1672,1,1,0,73
1673,0,0,1,41
1674,1,0,0,51
1675,0,0,1,59
1676,1,0,0,69
1677,1,0,0,45
1678,1,0,0,42
1679,0,0,1,42
1680,0,0,1,46
1681,1,0,0,52
1682,0,0,1,55
1683,0,0,1,59
1684,1,1,0,72
1685,1,1,0,42
1686,1,1,0,23
1687,0,0,1,49
1688,1,1,0,35
1689,1,1,0,96
1690,1,0,0,66
1691,0,0,1,59
1692,0,0,1,56
1693,1,1,0,52
1694,1,1,1,105
1695,1,0,0,47
1696,1,0,1,73
1697,0,0,1,42
1698,0,0,0,94
1699,1,1,0,4
1700,1,1,1,107
1701,0,0,1,59
1702,0,0,1,50
1703,1,0,0,44
1704,1,1,1,118
1705,0,1,1,92
1706,1,1,0,89
1707,1,0,0,43
1708,1,1,0,31
1709,1,0,0,57
1710,1,0,0,52
1711,0,0,1,41
1712,1,0,0,65
1713,1,1,0,84
1714,1,1,1,111
1715,1,1,0,63
1716,1,0,0,69
1717,0,1,1,41
1718,1,0,1,73
1719,0,1,1,41
1720,0,0,1,80
1721,1,1,0,95
1722,1,1,1,111
1723,0,0,1,42
1724,1,0,0,52
1725,0,1,0,120
1726,1,0,0,70
1727,1,0,0,46
1728,1,0,0,43
1729,1,0,1,85
1730,0,0,0,94
1731,1,0,0,53
1732,0,0,1,55
1733,0,0,1,59
1734,0,1,0,120
1735,1,1,0,40
1736,1,1,0,57
1737,0,1,1,99
1738,1,1,0,67
1739,1,1,0,86
1740,1,0,0,67
1741,0,1,0,120
1742,1,1,1,113
1743,1,1,0,11
1744,1,1,0,51
1745,1,0,0,48
1746,1,0,1,74
1747,1,0,1,85
1748,0,1,1,95
1749,1,1,1,118
1750,1,1,0,29
1751,0,1,0,120
1752,0,0,1,51
1753,1,0,0,45
1754,0,1,0,120
1755,0,0,1,46
1756,1,1,0,39
1757,1,0,0,44
1758,0,1,0,120
1759,1,0,0,58
1760,1,0,0,53
1761,0,0,1,41
1762,1,0,0,66
1763,0,1,0,120
1764,1,1,0,25
1765,1,1,1,119
1766,1,0,0,70
1767,1,0,0,42
1768,1,0,1,74
1769,1,0,0,42
1770,0,0,1,40
1771,0,1,0,120
1772,0,1,0,120
1773,1,0,1,85
1774,1,0,0,53
1775,1,1,0,62
1776,1,0,1,71
1777,1,0,0,47
1778,1,0,0,44
1779,0,1,1,86
1780,0,1,1,95
1781,1,0,0,54
1782,0,0,1,56
1783,0,1,0,120
1784,1,1,0,11
1785,0,1,0,120
1786,0,1,0,120
1787,0,0,1,50
1788,0,1,0,120
1789,1,1,0,57
1790,0,1,1,68
1791,1,1,0,13
1792,0,0,1,57
1793,0,1,0,120
1794,0,1,0,120
1795,1,0,0,49
1796,1,0,1,75
1797,0,1,1,86
1798,0,0,1,48
1799,0,1,0,120
1800,1,1,0,72
1801,1,1,0,54
1802,0,0,1,51
1803,1,0,0,46
1804,1,1,0,2
1805,0,0,0,94
1806,1,1,1,111
1807,1,0,0,45
1808,1,1,0,92
1809,0,1,0,59
1810,1,0,0,54
1811,0,0,1,42
1812,1,0,0,67
1813,1,1,0,12
1814,1,1,0,79
1815,1,1,0,5
1816,1,0,1,71
1817,1,0,0,43
1818,1,0,1,75
1819,1,0,0,43
1820,0,0,1,41
1821,1,1,0,79
1822,1,1,0,20
1823,0,1,1,86
1824,1,0,0,54
1825,1,1,1,117
1826,1,0,1,72
1827,1,0,0,48
1828,1,0,0,45
1829,0,0,1,43
1830,0,0,1,48
1831,1,0,0,55
1832,1,1,1,113
1833,1,1,0,65
1834,1,1,0,32
1835,1,1,0,72
1836,1,1,1,104
1837,0,0,1,50
1838,1,1,0,25
1839,0,1,0,120
1840,1,0,0,69
1841,1,1,0,85
1842,0,0,1,57
1843,1,1,1,99
1844,1,1,1,119
1845,1,1,1,50
1846,1,0,1,76
1847,0,0,1,43
1848,0,0,1,48
1849,1,1,0,25
1850,1,1,1,97
1851,1,1,0,76
1852,0,1,1,104
1853,1,0,0,47
1854,1,1,0,21
1855,0,1,1,95
1856,1,1,0,79
1857,1,0,0,46
1858,1,1,0,74
1859,1,0,0,60
1860,1,0,0,55
1861,1,0,1,85
1862,0,1,1,68
1863,1,1,0,69
1864,1,1,0,16
1865,0,1,0,120
1866,1,0,1,72
1867,1,0,0,44
1868,1,0,1,76
1869,1,0,0,44
1870,0,0,1,41
1871,1,1,1,119
1872,1,1,0,74
1873,0,0,1,43
1874,1,0,0,55
1875,1,1,0,7
1876,1,0,1,73
1877,1,0,0,49
1878,1,0,0,46
1879,0,0,1,44
1880,0,0,1,48
1881,1,0,0,56
1882,0,0,1,57
1883,1,1,0,65
1884,1,1,1,117
1885,1,1,0,62
1886,1,1,1,119
1887,0,0,1,51
1888,1,1,0,42
1889,1,1,0,62
1890,1,0,0,70
1891,1,1,1,115
1892,0,0,1,58
1893,1,1,0,72
1894,1,1,0,66
1895,1,0,0,51
1896,0,1,1,77
1897,0,0,1,44
1898,0,0,1,49
1899,1,1,0,96
1900,1,1,0,4
1901,1,1,1,115
1902,0,0,1,52
1903,1,0,0,48
1904,1,1,0,50
1905,0,0,1,48
1906,1,1,0,14
1907,1,0,0,47
1908,1,1,0,47
1909,1,0,0,61
1910,1,0,0,56
1911,0,1,1,86
1912,1,0,0,69
1913,1,1,0,54
1914,0,1,0,120
1915,1,1,0,1
1916,1,0,1,73
1917,1,0,0,45
1918,0,1,1,77
1919,1,0,0,45
1920,0,0,1,42
1921,1,1,0,22
1922,1,1,0,33
1923,0,0,1,44
1924,1,0,0,56
1925,1,1,0,89
1926,1,0,1,74
1927,1,1,1,50
1928,1,0,0,47
1929,0,0,1,44
1930,0,0,1,49
1931,1,0,0,57
1932,0,0,1,57
1933,1,1,0,21
1934,1,1,0,32
1935,1,1,0,24
1936,1,1,0,34
1937,0,0,1,51
1938,1,1,1,109
1939,1,1,0,44
1940,1,0,1,71
1941,1,1,0,56
1942,0,0,1,58
1943,1,1,1,119
1944,1,1,0,78
1945,1,0,0,52
1946,1,0,1,78
1947,0,0,1,44
1948,0,1,1,99
1949,1,1,0,71
1950,1,1,0,15
1951,1,1,0,23
1952,0,1,1,106
1953,1,0,0,49
1954,1,1,1,107
1955,0,0,1,48
1956,1,1,0,2
1957,1,0,0,48
1958,1,1,0,74
1959,1,0,0,62
1960,1,0,0,57
1961,0,0,1,43
1962,1,0,0,70
1963,1,1,0,11
1964,1,1,1,114
1965,1,1,0,13
1966,1,0,1,74
1967,1,0,0,46
1968,1,0,1,78
1969,1,0,0,46
1970,1,0,1,85
1971,1,1,1,106
1972,1,1,0,60
1973,0,0,1,44
1974,1,0,0,57
1975,1,1,0,73
1976,1,0,1,75
1977,1,0,0,51
1978,1,0,0,48
1979,0,0,1,45
1980,0,1,1,99
1981,1,0,0,58
1982,0,0,1,58
1983,1,1,0,89
1984,1,1,0,49
1985,1,1,0,82
1986,1,1,1,108
1987,0,1,1,104
1988,1,1,0,57
1989,1,1,1,119
1990,1,0,1,72
1991,1,1,1,99
1992,0,0,1,59
1993,1,1,0,6
1994,1,1,0,7
1995,1,0,0,53
1996,1,0,1,79
1997,0,0,1,45
1998,0,0,1,50
1999,1,1,0,4
2000,0,1,0,120
